Subject,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
Maths,"[Quadratic Equations] Sample Question 31: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 32: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 33: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 34: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 35: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 36: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 37: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 38: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 39: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 40: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 41: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 42: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 43: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 44: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 45: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 46: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 47: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 48: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 49: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 50: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 51: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 52: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 53: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 54: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 55: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 56: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 57: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 58: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 59: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 60: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 61: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 62: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 63: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 64: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 65: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 66: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 67: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 68: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 69: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 70: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 71: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 72: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 73: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 74: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 75: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 76: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 77: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 78: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 79: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 80: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 81: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 82: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 83: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 84: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 85: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 86: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 87: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 88: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 89: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 90: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 91: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 92: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 93: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 94: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 95: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 96: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 97: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 98: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 99: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 100: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 101: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 102: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 103: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 104: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 105: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 106: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 107: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 108: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 109: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 110: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 111: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 112: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 113: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 114: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 115: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 116: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 117: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 118: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 119: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 120: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 121: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 122: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 123: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 124: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 125: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 126: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 127: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 128: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 129: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 130: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 131: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 132: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 133: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 134: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 135: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 136: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 137: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 138: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 139: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 140: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 141: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 142: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 143: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 144: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 145: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 146: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 147: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 148: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 149: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 150: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 151: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 152: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 153: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 154: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 155: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 156: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 157: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 158: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 159: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 160: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 161: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 162: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 163: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 164: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 165: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 166: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 167: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 168: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 169: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 170: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 171: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 172: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 173: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 174: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 175: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 176: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 177: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 178: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 179: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 180: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 181: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 182: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 183: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 184: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 185: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 186: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 187: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 188: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 189: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 190: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 191: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 192: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 193: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 194: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 195: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 196: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 197: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 198: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 199: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 200: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 201: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 202: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 203: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 204: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 205: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 206: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 207: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 208: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 209: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 210: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 211: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 212: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 213: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 214: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 215: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 216: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 217: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 218: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 219: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 220: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 221: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 222: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 223: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 224: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 225: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 226: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 227: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 228: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 229: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 230: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 231: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 232: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 233: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 234: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 235: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 236: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 237: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 238: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 239: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 240: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 241: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 242: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 243: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 244: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 245: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 246: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 247: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 248: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 249: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 250: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 251: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 252: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 253: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 254: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 255: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 256: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 257: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 258: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 259: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 260: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 261: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 262: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 263: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 264: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 265: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 266: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 267: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 268: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 269: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 270: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 271: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 272: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 273: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 274: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 275: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 276: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 277: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 278: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 279: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 280: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 281: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 282: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 283: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 284: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 285: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 286: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 287: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 288: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 289: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 290: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 291: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 292: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 293: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 294: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 295: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 296: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 297: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 298: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 299: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 300: If x = 1, find the value.",0,1,2,3,B,Easy
Maths,"[Quadratic Equations] Sample Question 301: If x = 2, find the value.",1,2,3,4,B,Medium
Maths,"[Trigonometry] Sample Question 302: If x = 3, find the value.",2,3,4,5,B,Medium
Maths,"[Probability] Sample Question 303: If x = 4, find the value.",3,4,5,6,B,Easy
Maths,"[Mensuration] Sample Question 304: If x = 5, find the value.",4,5,6,7,B,Medium
Maths,"[AP & GP] Sample Question 305: If x = 6, find the value.",5,6,7,8,B,Medium
Maths,"[Coordinate Geometry] Sample Question 306: If x = 7, find the value.",6,7,8,9,B,Hard
Maths,"[Matrices] Sample Question 307: If x = 8, find the value.",7,8,9,10,B,Medium
Maths,"[Statistics] Sample Question 308: If x = 9, find the value.",8,9,10,11,B,Easy
Maths,"[Banking] Sample Question 309: If x = 10, find the value.",9,10,11,12,B,Easy
Maths,"[GST] Sample Question 310: If x = 1, find the value.",0,1,2,3,B,Easy
